"filename", "language", "XML", "C#", "JSON", "GLSL", "Properties", "comment", "blank", "total"
"c:\Code\FlowerSlayer\FlowerSlayer\Events\GameEvents.cs", "C#", 0, 48, 0, 0, 0, 0, 9, 57
"c:\Code\FlowerSlayer\FlowerSlayer\FlowerSlayer.csproj", "XML", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Code\FlowerSlayer\FlowerSlayer\Helpers\FIleHelper.cs", "C#", 0, 13, 0, 0, 0, 0, 1, 14
"c:\Code\FlowerSlayer\FlowerSlayer\Inputs\Input.cs", "C#", 0, 74, 0, 0, 0, 0, 11, 85
"c:\Code\FlowerSlayer\FlowerSlayer\Logging\Logger.cs", "C#", 0, 25, 0, 0, 0, 6, 4, 35
"c:\Code\FlowerSlayer\FlowerSlayer\Managers\GameObjectManager.cs", "C#", 0, 24, 0, 0, 0, 0, 6, 30
"c:\Code\FlowerSlayer\FlowerSlayer\Managers\Shader.cs", "C#", 0, 71, 0, 0, 0, 0, 14, 85
"c:\Code\FlowerSlayer\FlowerSlayer\Managers\ShaderManager.cs", "C#", 0, 41, 0, 0, 0, 1, 6, 48
"c:\Code\FlowerSlayer\FlowerSlayer\Managers\VAO.cs", "C#", 0, 30, 0, 0, 0, 4, 10, 44
"c:\Code\FlowerSlayer\FlowerSlayer\Managers\VAOManager.cs", "C#", 0, 51, 0, 0, 0, 1, 15, 67
"c:\Code\FlowerSlayer\FlowerSlayer\Objects\Cube.cs", "C#", 0, 45, 0, 0, 0, 0, 7, 52
"c:\Code\FlowerSlayer\FlowerSlayer\Objects\Game.cs", "C#", 0, 62, 0, 0, 0, 0, 13, 75
"c:\Code\FlowerSlayer\FlowerSlayer\Objects\GameObject.cs", "C#", 0, 100, 0, 0, 0, 0, 16, 116
"c:\Code\FlowerSlayer\FlowerSlayer\Objects\Triangle.cs", "C#", 0, 41, 0, 0, 0, 0, 15, 56
"c:\Code\FlowerSlayer\FlowerSlayer\Program.cs", "C#", 0, 40, 0, 0, 0, 8, 7, 55
"c:\Code\FlowerSlayer\FlowerSlayer\bin\Debug\net6.0\FlowerSlayer.deps.json", "JSON", 0, 0, 255, 0, 0, 0, 0, 255
"c:\Code\FlowerSlayer\FlowerSlayer\bin\Debug\net6.0\FlowerSlayer.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Code\FlowerSlayer\FlowerSlayer\bin\Debug\net6.0\Shaders\Fragment\shader.frag", "GLSL", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Code\FlowerSlayer\FlowerSlayer\bin\Debug\net6.0\Shaders\Vertex\shader.vert", "GLSL", 0, 0, 0, 9, 0, 0, 2, 11
"c:\Code\FlowerSlayer\FlowerSlayer\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Code\FlowerSlayer\FlowerSlayer\obj\Debug\net6.0\FlowerSlayer.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 10, 5, 24
"c:\Code\FlowerSlayer\FlowerSlayer\obj\Debug\net6.0\FlowerSlayer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Code\FlowerSlayer\FlowerSlayer\obj\Debug\net6.0\FlowerSlayer.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Code\FlowerSlayer\FlowerSlayer\obj\FlowerSlayer.csproj.nuget.dgspec.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 73
"c:\Code\FlowerSlayer\FlowerSlayer\obj\FlowerSlayer.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Code\FlowerSlayer\FlowerSlayer\obj\FlowerSlayer.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Code\FlowerSlayer\FlowerSlayer\obj\project.assets.json", "JSON", 0, 0, 485, 0, 0, 0, 0, 485
"Total", "-", 29, 684, 822, 16, 11, 32, 149, 1743